original_product,original_category,catalog_product,catalog_category,confidence
TOALHITAS PROTECCAO CORES WOOLI,Limpeza do Lar,Toalhitas,Higiene & Saúde,Manual
MACA GALA ALCOBACA 65/70,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
SNACK BAT OND C/SAL FORNO LAY S,Mercearia Salgada,Batatas fritas,Ingredientes & Temperos,Manual
SALSA CNT 50 G,Frutas e Legumes,Salsa,Ingredientes & Temperos,Manual
CEREAIS CHOCAPIC 740G + OF 35% ,Pequeno Almoco,Chocapic,Cereais,Manual
ESC COLGATE 360 EXPERT WHITE ME,Higiene,Pasta de dentes,Higiene & Saúde,Manual
CHAMPO HERBAL CANHAMO 380ML,Higiene,Champô,Higiene & Saúde,Manual
GUARDANAPOS 2F CNT BRANCO 100UN,Limpeza do Lar,Guardanapos,Casa,Manual
AGUA OXIGENADA HIDRO 500ML,Higiene,Água oxigenada,Higiene & Saúde,Manual
ALHO SECO CNT 400GR,Frutas e Legumes,Alho,Frutas & Legumes,Manual
VB PORCA DE MURCA DOC DOU 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
DET MAN LOICA MAX P ORIGINAL,Limpeza do Lar,Detergente maquina loiça,Casa,Manual
VELA N  0 AZUL/VERDE,Casa-Mesa/Mobiliario,Velas,Casa,Manual
ARROZ AGULHA CIGALA 1KG,Bens Essenciais,Arroz,Cereais,Manual
SALADA AROMATICA CNT 150GR,Frutas e Legumes,Sal,Ingredientes & Temperos,Manual
PAPEL HIGIENICO CNT 12=36R,Limpeza do Lar,Papel higiénico,Higiene & Saúde,Manual
LOMBOS BACALHAU MSC CONT 800G,Peixaria,Bacalhau,Carne & Peixe,Manual
OVOS SOLO L CONTINENTE 1/2DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
AGUA C/GAS PEDRAS LIMAO PET 1L,Soft Drinks,Àgua c/ gás,Frutas & Legumes,Manual
CEREAIS CHOCOLATE CHOCAPIC,Pequeno Almoco,Chocapic,Cereais,Manual
FRANGO CAMPO INT C/M GRANEL,Talho,Frango,Carne & Peixe,Manual
ESPARGUETE MILANEZA 500G,Bens Essenciais,Esparguete,Cereais,Manual
